size    stride  elapsed(s)      cycles
4096    1       0.001914        1916
4096    2       0.001771        1771
4096    4       0.000632        632
4096    8       0.000686        686
4096    16      0.000722        721
4096    32      0.000722        722
4096    64      0.000726        726
4096    128     0.000730        729
4096    256     0.000708        708
4096    512     0.000538        539
4096    1024    0.000465        465
4096    2048    0.000491        491
8192    1       0.001313        1313
8192    2       0.001317        1317
8192    4       0.001320        1321
8192    8       0.001353        1353
8192    16      0.001417        1417
8192    32      0.001428        1427
8192    64      0.001434        1433
8192    128     0.001452        1453
8192    256     0.001530        1530
8192    512     0.001540        1540
8192    1024    0.001220        1220
8192    2048    0.000990        990
8192    4096    0.001073        1073
16384   1       0.002574        2574
16384   2       0.002592        2592
16384   4       0.002615        2615
16384   8       0.002633        2633
16384   16      0.002747        2747
16384   32      0.002691        2691
16384   64      0.002794        2793
16384   128     0.002883        2882
16384   256     0.002930        2930
16384   512     0.002909        2909
16384   1024    0.002878        2878
16384   2048    0.002762        2762
16384   4096    0.002183        2183
16384   8192    0.002122        2122
32768   1       0.005061        5061
32768   2       0.005186        5186
32768   4       0.005219        5219
32768   8       0.005273        5274
32768   16      0.005494        5495
32768   32      0.005444        5443
32768   64      0.005581        5581
32768   128     0.005490        5489
32768   256     0.005766        5767
32768   512     0.005799        5799
32768   1024    0.005843        5842
32768   2048    0.005545        5545
32768   4096    0.005233        5233
32768   8192    0.004287        4287
32768   16384   0.004569        4569
65536   1       0.010590        10589
65536   2       0.010298        10298
65536   4       0.010652        10652
65536   8       0.010749        10749
65536   16      0.010869        10869
65536   32      0.012279        12278
65536   64      0.012550        12549
65536   128     0.010847        10848
65536   256     0.011226        11226
65536   512     0.011824        11824
65536   1024    0.011697        11697
65536   2048    0.016211        16211
65536   4096    0.020459        20459
65536   8192    0.011335        11335
65536   16384   0.008802        8802
65536   32768   0.008555        8555
131072  1       0.021220        21220
131072  2       0.020928        20927
131072  4       0.020958        20958
131072  8       0.021665        21666
131072  16      0.021620        21620
131072  32      0.021073        21073
131072  64      0.021859        21859
131072  128     0.021535        21535
131072  256     0.021787        21787
131072  512     0.022509        22509
131072  1024    0.023482        23482
131072  2048    0.031455        31455
131072  4096    0.054377        54377
131072  8192    0.035692        35692
131072  16384   0.022899        22899
131072  32768   0.017061        17061
131072  65536   0.016985        16985
262144  1       0.044313        44313
262144  2       0.041878        41878
262144  4       0.042255        42255
262144  8       0.043437        43437
262144  16      0.043024        43023
262144  32      0.042268        42268
262144  64      0.043475        43475
262144  128     0.042619        42619
262144  256     0.042851        42851
262144  512     0.044325        44325
262144  1024    0.045697        45697
262144  2048    0.104402        104402
262144  4096    0.157151        157150
262144  8192    0.148975        148975
262144  16384   0.083273        83273
262144  32768   0.045685        45684
262144  65536   0.034239        34239
262144  131072  0.034842        34841
524288  1       0.084959        84960
524288  2       0.084488        84487
524288  4       0.083808        83808
524288  8       0.085792        85791
524288  16      0.085680        85680
524288  32      0.083701        83701
524288  64      0.086143        86143
524288  128     0.085017        85017
524288  256     0.085967        85968
524288  512     0.087459        87459
524288  1024    0.090346        90347
524288  2048    0.251228        251228
524288  4096    0.314118        314117
524288  8192    0.305678        305678
524288  16384   0.271844        271844
524288  32768   0.136419        136419
524288  65536   0.090656        90656
524288  131072  0.068950        68949
524288  262144  0.072252        72252
1048576 1       0.170202        170202
1048576 2       0.170370        170370
1048576 4       0.173297        173296
1048576 8       0.172023        172023
1048576 16      0.158678        158678
1048576 32      0.156276        156276
1048576 64      0.221477        221478
1048576 128     0.351306        351306
1048576 256     0.380550        380549
1048576 512     0.376405        376405
1048576 1024    0.595401        595401
1048576 2048    0.678088        678088
1048576 4096    0.748453        748452
1048576 8192    0.588392        588393
1048576 16384   0.610276        610276
1048576 32768   0.517226        517226
1048576 65536   0.355885        355885
1048576 131072  0.181888        181888
1048576 262144  0.134318        134318
1048576 524288  0.127548        127548
2097152 1       0.309499        309499
2097152 2       0.317746        317745
2097152 4       0.311776        311776
2097152 8       0.314389        314389
2097152 16      0.322163        322163
2097152 32      0.330725        330725
2097152 64      0.602832        602832
2097152 128     1.136491        1136492
2097152 256     1.360483        1360483
2097152 512     1.486311        1486311
2097152 1024    1.540066        1540066
2097152 2048    1.686222        1686223
2097152 4096    2.101808        2101807
2097152 8192    1.317871        1317871
2097152 16384   1.190940        1190940
2097152 32768   1.184484        1184484
2097152 65536   0.851985        851985
2097152 131072  0.652863        652862
2097152 262144  0.326285        326284
2097152 524288  0.251724        251724
2097152 1048576 0.253859        253858
4194304 1       0.619616        619616
4194304 2       0.620177        620177
4194304 4       0.622042        622042
4194304 8       0.660733        660733
4194304 16      0.703424        703424
4194304 32      0.698522        698521
4194304 64      1.358105        1358106
4194304 128     2.525776        2525777
4194304 256     3.061021        3061021
4194304 512     3.022212        3022212
4194304 1024    2.925657        2925658
4194304 2048    3.730589        3730589
4194304 4096    4.578071        4578071
4194304 8192    5.071711        5071710
4194304 16384   2.941328        2941328
4194304 32768   2.445984        2445983
4194304 65536   2.436370        2436370
4194304 131072  1.214873        1214873
4194304 262144  1.398066        1398065
4194304 524288  0.711046        711046
4194304 1048576 0.552538        552538
4194304 2097152 0.566437        566437
