size    stride  elapsed(s)      cycles
[LOG]: running with array of size 4 KiB
4096    1       0.002593        2595
4096    2       0.001915        1916
4096    4       0.000650        651
4096    8       0.000673        673
4096    16      0.000693        693
4096    32      0.000721        720
4096    64      0.000719        719
4096    128     0.000714        714
4096    256     0.000700        700
4096    512     0.000715        714
4096    1024    0.000463        462
4096    2048    0.000491        490
[LOG]: running with array of size 8 KiB
8192    1       0.001311        1310
8192    2       0.001217        1216
8192    4       0.001223        1223
8192    8       0.001261        1261
8192    16      0.001250        1250
8192    32      0.001341        1341
8192    64      0.001336        1335
8192    128     0.001337        1337
8192    256     0.001349        1349
8192    512     0.001414        1414
8192    1024    0.001430        1430
8192    2048    0.000989        989
8192    4096    0.001076        1075
[LOG]: running with array of size 16 KiB
16384   1       0.002612        2611
16384   2       0.002469        2469
16384   4       0.002630        2630
16384   8       0.002675        2675
16384   16      0.002650        2649
16384   32      0.002552        2552
16384   64      0.002676        2676
16384   128     0.002792        2791
16384   256     0.002820        2820
16384   512     0.002716        2716
16384   1024    0.002640        2640
16384   2048    0.002749        2749
16384   4096    0.001984        1984
16384   8192    0.002119        2119
[LOG]: running with array of size 32 KiB
32768   1       0.005061        5061
32768   2       0.004729        4729
32768   4       0.004779        4779
32768   8       0.005071        5070
32768   16      0.005069        5069
32768   32      0.005183        5183
32768   64      0.005531        5531
32768   128     0.005829        5830
32768   256     0.007120        7120
32768   512     0.005302        5302
32768   1024    0.005489        5489
32768   2048    0.005194        5194
32768   4096    0.005259        5259
32768   8192    0.003903        3903
32768   16384   0.004193        4193
[LOG]: running with array of size 64 KiB
65536   1       0.009718        9717
65536   2       0.009701        9701
65536   4       0.009853        9853
65536   8       0.010017        10017
65536   16      0.010040        10040
65536   32      0.010596        10596
65536   64      0.010709        10709
65536   128     0.011709        11709
65536   256     0.013260        13260
65536   512     0.010577        10577
65536   1024    0.012317        12317
65536   2048    0.015930        15930
65536   4096    0.019749        19749
65536   8192    0.010090        10090
65536   16384   0.007607        7607
65536   32768   0.007742        7742
[LOG]: running with array of size 128 KiB
131072  1       0.019137        19136
131072  2       0.019529        19529
131072  4       0.019514        19513
131072  8       0.019847        19847
131072  16      0.020014        20013
131072  32      0.020612        20612
131072  64      0.020814        20813
131072  128     0.022061        22061
131072  256     0.024529        24529
131072  512     0.020552        20552
131072  1024    0.021430        21430
131072  2048    0.025622        25622
131072  4096    0.039703        39703
131072  8192    0.028320        28321
131072  16384   0.020263        20263
131072  32768   0.015440        15439
131072  65536   0.015457        15457
[LOG]: running with array of size 256 KiB
262144  1       0.038505        38505
262144  2       0.038641        38641
262144  4       0.038772        38772
262144  8       0.039821        39821
262144  16      0.039831        39831
262144  32      0.041157        41156
262144  64      0.041439        41440
262144  128     0.043907        43907
262144  256     0.048194        48194
262144  512     0.040359        40359
262144  1024    0.041406        41406
262144  2048    0.060213        60212
262144  4096    0.144866        144866
262144  8192    0.106394        106394
262144  16384   0.060265        60265
262144  32768   0.040854        40854
262144  65536   0.031485        31484
